monkey,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_response,dot_speed,1=responded,past_reward,past_actTime,1=poor_environment
1,2,5000,0,10,0.2689,200,1,0,10,1
1,2,5000,0,10,0.2689,200,1,0,10,1
1,2,5000,2,12,0.5,200,1,1,13,1
1,2,7000,2,14,0.7311,200,1,1,14,1
1,2,7000,0,10,0.2689,200,1,0,11,1
1,2,7000,2,13,0.6225,200,1,0,10,1
1,2,7000,2,12,0.5,200,1,2,13,1
1,2,3000,0,10,0.2689,200,1,0,9,1
1,2,3000,2,14,0.7311,200,1,2,16,1
1,2,3000,2,18,0.9526,200,1,2,18,1
1,2,7000,2,14,0.7311,200,1,1,19,1
1,2,7000,2,14,0.7311,200,1,1,12,1
1,2,7000,0,15,0.8176,200,1,3,15,1
1,2,7000,2,19,0.9707,200,1,1,10,1
1,2,5000,0,11,0.3775,200,1,NaN,NaN,1
1,2,5000,0,13,0.6225,200,1,NaN,NaN,1
1,2,5000,2,17,0.9241,200,1,2,18,1
1,2,5000,2,18,0.9526,200,1,3,17,1
1,2,5000,2,17,0.9241,200,1,3,14,1
1,2,3000,0,10,0.2689,200,1,1,19,1
1,2,3000,2,16,0.8808,200,1,2,17,1
1,2,3000,2,13,0.6225,200,1,0,14,1
1,2,3000,2,14,0.7311,200,1,3,17,1
1,2,5000,2,14,0.7311,200,1,0,8,1
1,2,5000,2,11,0.3775,200,1,3,17,1
1,2,5000,0,14,0.7311,200,1,2,11,1
1,2,5000,0,14,0.7311,200,1,0,8,1
1,2,7000,2,16,0.8808,200,1,1,13,1
1,2,7000,2,16,0.8808,200,1,3,15,1
1,2,7000,0,14,0.7311,200,1,1,13,1
1,2,5000,2,14,0.7311,200,1,0,15,1
1,2,5000,0,13,0.6225,200,1,0,6,1
1,2,5000,2,15,0.8176,200,1,0,13,1
1,2,5000,2,16,0.8808,200,1,0,18,1
1,2,5000,2,20,0.982,200,1,0,15,1
1,2,3000,2,19,0.9707,200,1,3,19,1
1,2,3000,2,16,0.8808,200,1,2,14,1
1,2,3000,2,14,0.7311,200,1,1,17,1
1,2,7000,2,10,0.2689,200,1,3,21,1
1,2,7000,2,11,0.3775,200,1,0,9,1
1,2,7000,2,12,0.5,200,1,1,13,1
1,2,7000,0,11,0.3775,200,1,3,21,1
1,2,5000,0,11,0.3775,200,1,1,17,1
1,2,3000,0,10,0.2689,200,1,0,13,1
1,2,3000,2,15,0.8176,200,1,0,12,1
1,2,7000,2,12,0.5,200,1,2,14,1
1,2,7000,0,9,0.1824,200,1,1,12,1
1,2,7000,0,12,0.5,200,1,1,17,1
1,2,7000,2,15,0.8176,200,1,3,18,1
1,2,7000,2,13,0.6225,200,1,0,11,1
1,2,7000,2,16,0.8808,200,1,0,17,1
1,2,5000,2,12,0.5,200,1,2,14,1
1,2,5000,2,13,0.6225,200,1,2,12,1
1,2,5000,0,12,0.5,200,1,2,13,1
1,2,7000,2,15,0.8176,200,1,2,12,1
1,2,7000,2,14,0.7311,200,1,1,10,1
1,2,7000,2,16,0.8808,200,1,1,15,1
1,2,7000,2,15,0.8176,200,1,0,13,1
1,2,7000,2,11,0.3775,200,1,3,18,1
1,2,5000,0,12,0.5,200,1,2,14,1
1,2,5000,2,13,0.6225,200,1,0,12,1
1,2,3000,0,10,0.2689,200,1,3,12,1
1,2,3000,2,13,0.6225,200,1,2,15,1
1,2,7000,0,11,0.3775,200,1,2,16,1
1,2,7000,0,11,0.3775,200,1,3,18,1
