animal,session,trial,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_reposne,dot_speed(ms),1=responded,past_reward,past_actTime,deterministic_actTime,1=treatment group
1,1,2,1,3000,1,15,0.8176,100,1,NaN,NaN,NaN,1
1,1,3,3,3000,3,15,0.8176,100,1,1,15,NaN,1
1,1,4,3,3000,3,15,0.8176,200,1,3,15,NaN,1
1,1,5,2,3000,0,13,0.6225,200,1,3,15,NaN,1
1,1,6,2,3000,0,8,0.1192,300,1,0,13,NaN,1
1,1,7,2,3000,2,13,0.6225,200,1,0,8,NaN,1
1,1,8,1,3000,1,15,0.8176,100,1,2,13,NaN,1
1,1,9,2,3000,0,10,0.2689,300,1,1,15,NaN,1
1,1,10,2,3000,0,10,0.2689,300,1,0,10,NaN,1
1,1,11,1,3000,0,11,0.3775,300,1,0,10,9,1
1,1,12,3,3000,0,11,0.3775,300,1,0,11,7,1
1,1,13,3,3000,3,15,0.8176,100,1,0,11,7,1
1,1,14,1,3000,1,13,0.6225,300,1,3,15,9,1
1,1,15,2,3000,0,10,0.2689,300,1,1,13,8,1
1,1,16,2,3000,0,10,0.2689,200,1,0,10,9,1
1,1,17,3,3000,3,19,0.9707,100,1,0,10,5,1
1,1,18,3,3000,0,9,0.1824,300,1,3,19,7,1
1,1,19,2,3000,0,11,0.3775,200,1,0,9,9,1
1,1,20,2,3000,2,10,0.2689,300,1,0,11,9,1
1,1,21,2,3000,0,13,0.6225,100,1,2,10,6,1
1,1,22,2,3000,0,10,0.2689,300,1,0,13,11,1
1,1,23,3,3000,3,15,0.8176,200,1,0,10,5,1
1,1,24,3,3000,3,16,0.8808,100,1,3,15,7,1
1,1,25,1,3000,1,12,0.5,200,1,3,16,9,1
1,1,26,1,3000,1,17,0.9241,200,1,1,12,8,1
1,1,27,1,3000,1,15,0.8176,200,1,1,17,9,1
1,1,28,3,3000,3,18,0.9526,200,1,1,15,7,1
1,1,29,2,3000,2,11,0.3775,200,1,3,18,9,1
1,1,30,1,3000,0,10,0.2689,300,1,2,11,12,1
1,1,31,1,7000,1,9,0.1824,300,1,0,10,12,1
1,1,32,3,7000,0,11,0.3775,100,1,1,9,8,1
1,1,33,1,7000,1,13,0.6225,100,1,0,11,13,1
1,1,34,3,7000,0,11,0.3775,100,1,1,13,5,1
1,1,35,2,7000,2,15,0.8176,100,1,0,11,10,1
1,1,36,1,7000,0,12,0.5,200,1,2,15,8,1
1,1,37,1,7000,0,13,0.6225,300,1,0,12,12,1
1,1,38,3,7000,0,12,0.5,200,1,0,13,8,1
1,1,39,3,7000,0,10,0.2689,300,1,0,12,8,1
1,1,40,1,7000,1,13,0.6225,100,1,0,10,12,1
1,1,41,3,7000,3,11,0.3775,200,1,1,13,5,1
1,1,42,3,7000,0,11,0.3775,200,1,3,11,5,1
1,1,43,1,7000,0,13,0.6225,200,1,0,11,8,1
1,1,44,1,7000,1,16,0.8808,300,1,0,13,9,1
1,1,45,1,7000,1,21,0.989,300,1,1,16,11,1
1,1,46,1,7000,1,19,0.9707,200,1,1,21,16,1
1,1,47,1,7000,1,13,0.6225,300,1,1,19,16,1
1,1,48,1,7000,1,27,1,100,1,1,13,13,1
1,1,49,1,7000,1,19,0.9707,100,1,1,27,10,1
1,1,50,2,7000,2,16,0.8808,100,1,1,19,9,1
1,1,51,3,7000,0,11,0.3775,200,1,2,16,7,1
1,1,52,1,7000,0,17,0.9241,200,1,0,11,11,1
1,1,53,2,7000,0,13,0.6225,200,1,0,17,11,1
1,1,54,2,7000,2,11,0.3775,300,1,0,13,16,1
1,1,55,3,7000,3,18,0.9526,300,1,2,11,11,1
1,1,56,1,7000,0,13,0.6225,300,1,3,18,15,1
1,1,57,2,7000,2,19,0.9707,100,1,0,13,16,1
1,1,58,1,7000,0,10,0.2689,200,1,2,19,8,1
1,1,59,2,7000,2,13,0.6225,300,1,0,10,10,1
1,1,60,1,7000,1,9,0.1824,100,1,2,13,10,1
1,1,61,1,5000,0,10,0.2689,300,1,1,9,14,1
1,1,62,3,5000,3,16,0.8808,200,1,0,10,7,1
